_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,MI_PRINX,OBJECTID,ID,CLIENT_STREET_1,CLIENT_STREET_2,RLC,TCS,NAME,ADDITIONAL_INFO,MAIN,SIDE1,SIDE2,MID_BLOCK,PRIVATE_ACCESS,DISTRICT,WARD_1,WARD_2,WARD_3,WARD_4,POLICE_DIVISION_1,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,geometry,geo_coordinates
55,13464908.0,Bloor St W,Ossington Ave,55,55,55,BLOOR ST W,OSSINGTON AVE,6061,341,Bloor St W And Ossington Ave,,BLOOR ST W,OSSINGTON AVE,,,,Toronto and East York,Davenport(9),University-Rosedale(11),,,14,,,2011-11-22T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4256589977268, 43.6619839983533]]}","(-79.4256589977268, 43.6619839983533)"
56,13461356.0,Danforth Ave,Greenwood Ave,56,56,56,DANFORTH AVE,GREENWOOD AVE,6062,348,Danforth Ave And Greenwood Ave,,DANFORTH AVE,GREENWOOD AVE,,,,Toronto and East York,Toronto-Danforth(14),,,,54,55.0,,2010-01-07T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3323819969191, 43.6814840035033]]}","(-79.3323819969191, 43.6814840035033)"
57,13463494.0,Queen St E,Woodbine Ave,57,57,57,QUEEN ST E,WOODBINE AVE,6063,548,Queen St E And Woodbine Ave,,QUEEN ST E,WOODBINE AVE,,,,Toronto and East York,Beaches-East York(19),,,,55,,,2009-08-06T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3057750019252, 43.6687570069778]]}","(-79.3057750019252, 43.6687570069778)"
58,13466630.0,King St E,Jarvis St,58,58,58,KING ST E,JARVIS ST,6064,3,King St E And Jarvis St,,KING ST E,JARVIS ST,,,,Toronto and East York,Toronto Centre(13),,,,51,,,2009-08-06T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3719129962965, 43.6504630011365]]}","(-79.3719129962965, 43.6504630011365)"
59,13465164.0,Lake Shore Blvd E,Leslie St,59,59,59,LAKE SHORE BLVD E,LESLIE ST,6065,206,Lake Shore Blvd E And Leslie St,,LAKE SHORE BLVD E,LESLIE ST,,,,Toronto and East York,Toronto-Danforth(14),,,,55,,,2009-08-06T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3284359942956, 43.6592350040891]]}","(-79.3284359942956, 43.6592350040891)"
60,13467011.0,Lower Jarvis St,The Esplanade,60,60,60,LOWER JARVIS ST,THE ESPLANADE,6066,1392,Lower Jarvis St And The Esplanade,,LOWER JARVIS ST,THE ESPLANADE,,,,Toronto and East York,Spadina-Fort York(10),Toronto Centre(13),,,51,,,2009-08-06T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3709320014031, 43.6482249963251]]}","(-79.3709320014031, 43.6482249963251)"
61,13465837.0,Lake Shore Blvd E,Carlaw Ave,61,61,61,LAKE SHORE BLVD E,CARLAW AVE,6067,207,Lake Shore Blvd E And Carlaw Ave,,LAKE SHORE BLVD E,CARLAW AVE,,,,Toronto and East York,Toronto-Danforth(14),,,,55,,,2009-08-06T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3374340022338, 43.6549600017234]]}","(-79.3374340022338, 43.6549600017234)"
62,13461587.0,Rogers Rd,Keele St,62,62,62,ROGERS RD,KEELE ST,6068,394,Rogers Rd And Keele St,,ROGERS RD,KEELE ST,,,,Etobicoke York,York South-Weston(5),,,,12,,,2009-09-08T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4715979979489, 43.6821360027129]]}","(-79.4715979979489, 43.6821360027129)"
63,13465876.0,Dundas St W,Bloor St W,63,63,63,DUNDAS ST W,BLOOR ST W,6069,327,Dundas St W And Bloor St W,,DUNDAS ST W,BLOOR ST W,,,,Toronto and East York,Parkdale-High Park(4),,,,11,,,2009-08-11T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4524529944122, 43.6563210073069]]}","(-79.4524529944122, 43.6563210073069)"
64,,,,64,64,64,YONGE ST,LAWRENCE AVE,6070,55,Yonge St And Lawrence Ave,,YONGE ST,LAWRENCE AVE,,,,North York,Eglinton-Lawrence(8),Don Valley West(15),,,32,53.0,,2009-08-05T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4021950065855, 43.7251010003172]]}","(-79.4021950065855, 43.7251010003172)"
65,13457863.0,Eglinton Ave W,Spadina Rd,65,65,65,EGLINTON AVE W,SPADINA RD,6072,99,Eglinton Ave W And Spadina Rd,,EGLINTON AVE W,SPADINA RD,,,,North York,Eglinton-Lawrence(8),Toronto-St. Paul's(12),,,13,53.0,,2010-01-07T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4191080086644, 43.7023509956489]]}","(-79.4191080086644, 43.7023509956489)"
66,13452266.0,Lawrence Ave E,Don Mills Rd,66,66,66,LAWRENCE AVE E,DON MILLS RD,6074,402,Lawrence Ave E And Don Mills Rd,,LAWRENCE AVE E,DON MILLS RD,,,,North York,Don Valley East(16),,,,33,,,2009-09-10T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3434479955005, 43.7371730050547]]}","(-79.3434479955005, 43.7371730050547)"
67,13443509.0,Neilson Rd,Sheppard Ave E,67,67,67,NEILSON RD,SHEPPARD AVE E,6075,1222,Neilson Rd And Sheppard Ave E,,NEILSON RD,SHEPPARD AVE E,,,,Scarborough,Scarborough North(23),Scarborough-Rouge Park(25),,,42,,,2009-08-04T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.2176650080531, 43.7981220089414]]}","(-79.2176650080531, 43.7981220089414)"
